name, iata, location,restricted, az_count, elb.account_id, elb.elb_hosted_zone_id, elb.nlb_hosted_zone_id, s3.hosted_zone_id ,apigateway.account_id,elasticbeanstalk.hosted_zone_id,
us-east-1,IAD,US East (N. Virginia),false,6,127311923021,Z35SXDOTRQ7X7K,Z26RNL4JYFTOTI,Z3AQBSTGFYJSTF,Z1UJRXOUMOOFQ8,Z117KPS5GTRQ2G,
us-east-2,LUK,US East (Ohio),false,3,033677994240,Z3AADJGX6KTTL2,ZLMOA37VPKANP,Z2O1EMRO9K5GLX,ZOJJZC49E0EPZ,Z14LCN19Q5QHIC,
us-west-1,SFO,US West (N. California),false,3,027434742980,Z368ELLRRE2KJ0,Z24FKFUX50B4VW,Z2F56UZL2M1ACD,Z2MUQ32089INYE,Z1LQECGX5PH1X,
us-west-2,PDX,US West (Oregon),false,3,797873946194,Z1H1FL5HABSF5,Z18D5FSROUN65G,Z3BJ6K6RIION7M,Z2OJLYMUO9EFXC,Z38NKT9BP95V3O,
eu-west-1,DUB,EU (Ireland),false,3,156460612806,Z32O12XQLNTSW2,Z2IFOLAFXWLO4F,Z1BKCTXD74EZPE,ZLY8HYME6SFDD,Z2NYPWQ7DFZAZH,
eu-west-2,LHR,EU (London),false,3,652711504416,ZHURV8PSTC4K8,ZD4D7Y8KGAS4G,Z3GKZC51ZF0DB4,ZJ5UAJN8Y3Z2Q,Z1GKAAAUGATPF1,
eu-west-3,CDG,EU (Paris),false,3,009996457667,Z3Q77PNBQS71R4,Z1CMS0P5QUZ6D5,Z3R1K369G5AVDG,Z3KY65QIEKYHQQ,Z5WN6GAYWG5OB,
eu-central-1,FRA,EU (Frankfurt),false,3,054676820928,Z215JYRZR1TBD5,Z3F0SRJ5LGBH90,Z21DNDUVLTQW6Q,Z1U9ULNL0V5AJ3,Z1FRNW7UH4DEZJ,
ap-southeast-1,SIN,Asia Pacific (Singapore),false,3,114774131450,Z1LMS91P8CMLE5,ZKVM4W9LS7TM,Z3O0J2DXBE1FTB,Z20JF4UZKIW1U8,Z16FZ9L249IFLT,
ap-southeast-2,SYD,Asia Pacific (Sydney),false,3,783225319266,Z1GM3OXH4ZPM65,ZCT6FZBF4DROD,Z1WCIGYICN2BYD,Z2RPCDW04V8134,Z2PCDNR3VC2G1N,
ap-northeast-1,NRT,Asia Pacific (Tokyo),false,4,582318560864,Z14GRHDCWA56QT,Z31USIVHYNEOWT,Z2M4EHUR26P7ZW,Z1YSHQZHG15GKL,Z1R25G3KIG2GBW,
ap-northeast-2,ICN,Asia Pacific (Seoul),false,2,600734575887,ZIBE1TIR4HY56,ZWKZPGTI48KDX,Z3W03O7B5YMIYP,Z20JF4UZKIW1U8,Z3JE5OI70TWKCP,
ap-south-1,BOM,India (Mumbai),false,2,718504428378,ZP97RAFLXTNZK,ZVDDRBQ08TROA,Z11RGJOFQNVJUP,Z3VO1THU9YC4UR,Z18NTBI3Y7N9TZ,
sa-east-1,GRU,South America (Sao Paulo),false,3,507241528517,Z2P70J7HTTTPLU,ZTK26PT1VY4CU,Z7KQH4QJS55SO,ZCMLWB8V5SYIT,Z10X7K2B4QSOFV,
ca-central-1,YUL,Canada (Montreal),false,2,985666609251,ZP97RAFLXTNZK,Z2EPGBW3API2WT,Z1QDHH18159H29,Z19DQILCV0OWEC,ZJFCZL7SSZB5I,
us-gov-west-1,,AWS GovCloud (US),true,3,048591011584,,,Z31GFT0UA1I2HV,,,
cn-north-1,PEK,Beijing (China),true,2,638102146993,,,,,,
cn-northwest-1,INC,Ningxia (China),true,3,037604701340,,,,,,
